product_id,sale_id,quantity,description,createdAt
1693,1604,9,contingency,2021-02-14 23:19:05
1805,1949,8,matrices,2021-07-19 15:11:26
1685,1653,2,process improvement,2021-04-11 11:37:19
1743,1963,2,model,2021-02-19 17:46:45
1948,1479,6,throughput,2020-11-27 09:47:09
1972,1247,14,interactive,2021-04-02 00:11:37
1781,1537,5,holistic,2021-02-05 18:17:07
1610,1974,10,5th generation,2020-12-17 01:34:26
1952,1583,4,exuding,2021-09-18 23:25:57
1912,1368,10,Self-enabling,2021-04-18 13:42:20
1841,1329,7,pricing structure,2021-07-06 05:15:08
1526,1067,11,cohesive,2021-07-02 15:56:52
1998,1555,4,installation,2021-03-07 09:28:21
1798,1061,2,challenge,2021-08-16 23:59:40
1638,1560,12,client-driven,2021-09-27 00:42:38
1574,1595,6,multi-state,2021-04-19 17:44:14
1717,1071,6,fault-tolerant,2021-02-15 09:44:44
1726,1779,5,solution-oriented,2021-07-09 04:29:00
1873,1715,6,functionalities,2021-07-23 01:36:35
1509,1073,14,open system,2021-06-08 18:52:26
1657,1627,7,Adaptive,2021-05-27 02:40:40
1806,1066,5,implementation,2021-09-07 06:14:13
1773,1272,5,conglomeration,2021-05-07 19:49:11
1941,1204,3,Total,2021-02-25 20:14:26
1988,1187,6,modular,2021-08-24 03:16:55
1522,1004,4,fresh-thinking,2021-07-27 21:56:05
1521,1735,9,systemic,2021-08-26 10:34:55
1556,1503,3,Ameliorated,2021-07-06 06:43:58
1696,1859,8,upward-trending,2021-06-30 13:21:41
1604,1508,2,attitude-oriented,2021-01-28 02:09:44
1971,1522,13,protocol,2020-12-30 21:34:50
1542,1855,1,archive,2020-12-22 12:00:42
1878,1325,12,Fully-configurable,2020-12-02 09:03:57
1673,1802,7,architecture,2021-01-29 12:55:37
1637,1887,15,Stand-alone,2021-10-10 08:57:58
1870,1478,5,optimizing,2021-05-28 10:38:20
1899,1824,8,software,2021-02-17 07:54:02
1782,1816,11,contingency,2021-07-13 23:20:48
1550,1310,13,instruction set,2020-11-20 15:07:18
1617,1585,11,strategy,2021-01-16 14:09:17
1807,1608,13,heuristic,2021-07-13 19:54:44
1742,1938,9,open system,2021-02-12 15:39:16
1765,1173,6,optimizing,2021-10-23 13:05:29
1594,1679,5,Face to face,2021-03-08 21:59:11
1695,1953,9,Quality-focused,2020-11-13 10:56:38
1834,1103,6,hardware,2020-12-27 20:04:59
1698,1161,13,groupware,2021-05-21 08:05:36
1691,1453,15,background,2021-02-17 08:32:41
1698,1009,3,Polarised,2021-01-02 01:23:43
1863,1438,11,systemic,2021-08-22 02:38:24
1757,1161,11,forecast,2021-02-25 15:54:30
1714,1107,13,Quality-focused,2021-01-20 09:00:28
1822,1746,7,process improvement,2021-06-06 02:25:11
1958,1295,14,Inverse,2021-01-07 21:26:15
1946,1220,9,intranet,2021-04-06 14:31:45
1947,1090,6,Compatible,2021-05-15 13:43:34
1616,1244,11,policy,2021-03-12 22:16:04
1514,1695,8,Balanced,2020-12-29 06:08:15
1965,1268,15,access,2021-08-06 17:10:19
1817,1407,13,Cross-platform,2021-01-30 03:10:53
1837,1229,10,workforce,2021-09-21 14:30:14
1911,1219,11,zero tolerance,2021-09-14 17:20:03
1975,1663,3,Synergistic,2021-09-02 17:19:50
1886,1302,8,Business-focused,2021-01-17 05:32:10
1938,1212,12,human-resource,2021-05-27 00:05:51
1641,1830,11,instruction set,2021-08-24 02:43:00
1528,1292,14,intermediate,2021-05-14 04:46:57
1756,1240,5,exuding,2021-09-16 20:02:32
1824,1812,5,dedicated,2021-05-30 12:34:46
1970,1395,8,client-driven,2021-06-03 04:42:13
1954,1607,11,Persistent,2021-02-05 05:43:44
1806,1546,8,Balanced,2021-03-03 18:29:38
1711,1359,13,Vision-oriented,2021-06-01 05:09:51
1727,1773,5,archive,2021-05-23 00:57:18
1640,1504,15,executive,2021-04-12 04:03:14
1527,1895,15,Digitized,2020-12-21 11:15:04
1573,1387,1,product,2021-06-25 13:00:26
1747,1706,8,composite,2021-10-22 12:11:48
1658,1853,1,Progressive,2021-09-05 23:53:05
1932,1028,7,4th generation,2021-07-20 19:43:24
1668,1170,2,upward-trending,2021-02-16 19:50:03
1839,1420,6,productivity,2020-12-11 04:04:48
1662,1631,10,Realigned,2021-04-05 01:11:03
1621,1263,6,product,2020-11-28 19:57:54
1941,1162,7,support,2021-09-23 20:58:36
1829,1192,5,Synchronised,2021-01-27 19:18:32
1946,1363,2,encryption,2021-07-05 13:02:29
1610,1467,12,Enterprise-wide,2021-10-09 17:47:07
1969,1300,2,multi-tasking,2021-09-01 04:29:29
1541,1264,14,bi-directional,2021-01-25 13:22:48
1794,1928,1,cohesive,2021-01-20 00:03:03
1716,1212,9,De-engineered,2021-06-02 23:03:57
1646,1466,6,internet solution,2021-07-01 21:50:20
1645,1173,11,exuding,2020-11-12 18:46:31
1783,1397,2,Multi-channelled,2021-04-17 08:33:54
1937,1725,2,circuit,2020-11-18 10:12:19
1675,1782,13,Open-architected,2021-01-24 06:44:47
1507,1351,6,monitoring,2021-01-09 15:25:33
1848,1710,15,knowledge user,2021-02-23 05:14:12
1666,1987,1,empowering,2021-06-14 10:16:43
1544,1681,11,Self-enabling,2021-01-05 21:23:31
1547,1195,1,intangible,2021-03-29 13:00:01
1570,1010,5,synergy,2021-03-11 11:56:50
1683,1805,7,Mandatory,2021-07-15 07:42:11
1961,1295,9,Organic,2021-09-17 20:09:32
1705,1988,15,Horizontal,2021-11-06 21:48:03
1830,1137,9,hardware,2021-05-07 12:47:51
1989,1874,11,exuding,2021-02-27 05:38:22
1776,1949,3,Future-proofed,2021-08-19 22:56:07
1660,1831,9,Focused,2021-05-11 02:28:48
1819,1656,5,benchmark,2021-05-29 06:16:17
1820,1396,4,Down-sized,2021-01-12 12:45:45
1896,1861,4,client-driven,2021-09-19 05:51:16
1833,1283,7,Diverse,2021-06-13 00:09:31
1551,1831,2,full-range,2021-10-17 21:26:38
1627,1059,10,budgetary management,2021-04-30 06:03:39
1731,1744,11,strategy,2021-10-27 07:31:25
1796,1504,11,superstructure,2021-08-11 14:38:22
1897,1565,2,background,2021-02-19 01:19:28
1820,1547,5,explicit,2020-12-01 07:12:37
1614,1218,1,definition,2020-12-05 19:24:06
1860,1987,15,Programmable,2020-12-17 04:54:17
1825,1276,8,structure,2021-10-31 03:09:20
1947,1466,8,Total,2021-04-22 06:48:46
1701,1484,2,Innovative,2021-07-31 04:11:32
1549,1956,10,Networked,2021-09-14 03:32:22
1930,1696,7,incremental,2021-11-02 11:06:37
1517,1226,2,De-engineered,2021-07-31 02:56:06
1939,1193,9,solution,2021-04-19 11:14:40
1800,1355,6,Adaptive,2021-05-03 17:07:57
1794,1484,9,encompassing,2021-02-27 02:16:02
1940,1249,13,Diverse,2021-02-23 14:04:28
1979,1307,4,orchestration,2021-04-16 20:15:40
1678,1744,9,frame,2021-07-10 18:12:13
1938,1302,2,toolset,2020-12-19 07:55:19
1919,1476,15,national,2021-04-25 22:55:44
1670,1567,12,instruction set,2021-03-13 04:18:06
1875,1643,13,standardization,2021-11-03 10:17:27
1992,1562,14,Exclusive,2020-12-18 13:32:21
1526,1847,3,Total,2021-05-21 09:51:41
1806,1134,7,capacity,2021-11-07 05:03:41
1916,1930,6,Down-sized,2020-12-01 01:45:09
1831,1947,10,cohesive,2020-11-10 12:14:10
1846,1942,14,asymmetric,2021-10-04 00:36:16
1684,1285,12,superstructure,2021-10-31 21:46:49
1841,1836,12,24 hour,2021-03-22 07:17:56
1904,1002,13,local area network,2021-08-19 02:54:51
1634,1180,12,Quality-focused,2021-07-27 02:09:07
1821,1230,2,budgetary management,2021-01-21 18:23:27
2000,1203,1,architecture,2021-08-05 09:58:36
1965,1975,9,needs-based,2020-12-25 01:09:22
1753,1262,15,Horizontal,2020-12-10 16:12:00
1520,1001,8,concept,2021-01-16 18:05:18
1631,1490,11,Visionary,2021-08-12 02:41:16
1962,1737,15,concept,2021-07-21 18:02:50
1617,1259,1,asynchronous,2021-10-11 01:27:40
1772,1912,4,didactic,2020-11-16 19:18:41
1912,1321,8,uniform,2021-06-21 09:27:50
1636,1326,10,collaboration,2021-01-15 15:10:35
1561,1863,9,encoding,2021-11-06 20:48:00
1568,1867,15,Phased,2021-03-08 17:33:30
1566,1395,14,24 hour,2020-12-28 15:08:15
1672,1286,13,explicit,2021-02-15 15:28:52
1857,1479,12,ability,2021-06-11 23:16:57
1965,1330,10,non-volatile,2021-08-05 06:40:37
1861,1582,10,capability,2021-01-06 01:10:10
1895,1607,1,superstructure,2021-02-12 16:47:48
1993,1768,11,Sharable,2021-10-16 10:21:33
1873,1813,8,intermediate,2020-12-30 17:43:25
1574,1449,4,Balanced,2021-09-12 19:58:59
1790,1450,4,Adaptive,2021-08-30 12:11:11
1843,1276,15,transitional,2021-04-15 13:25:39
1716,1612,8,strategy,2021-04-02 20:45:07
1808,1452,10,impactful,2021-06-22 05:36:49
1769,1316,15,policy,2020-11-21 02:05:07
1894,1911,9,next generation,2021-06-03 04:11:09
1875,1461,12,benchmark,2021-06-23 21:41:06
1607,1802,10,moratorium,2020-11-13 16:29:13
1722,1702,5,throughput,2021-09-01 17:00:13
1770,1216,13,leverage,2021-02-12 04:57:45
1983,1621,5,Adaptive,2021-03-27 01:57:56
1518,1037,11,maximized,2020-12-25 02:32:18
1817,1787,1,capacity,2021-06-08 01:20:57
1603,1177,10,optimal,2020-11-13 06:26:25
1733,1108,5,explicit,2021-06-09 13:36:44
1782,1608,3,emulation,2021-08-30 10:59:24
1805,1125,8,Organic,2020-12-12 05:09:23
1502,1728,4,De-engineered,2021-08-05 18:53:47
1985,1982,9,Customer-focused,2020-12-21 07:25:38
1742,1778,9,radical,2021-05-06 19:12:24
1692,1593,14,Versatile,2021-09-12 15:44:45
1566,1317,11,help-desk,2021-06-29 20:59:36
1655,1891,10,infrastructure,2021-02-01 18:45:50
1989,1019,7,Exclusive,2021-03-25 04:00:42
1531,1182,1,real-time,2021-04-28 06:21:35
1649,1761,15,Graphical User Interface,2021-04-11 12:05:59
1548,1750,5,zero administration,2021-05-03 15:01:25
1894,1822,1,zero administration,2021-03-10 19:51:34
1619,1840,2,object-oriented,2021-08-18 20:51:41
1738,1848,13,pricing structure,2021-01-13 04:20:46
1512,1422,12,internet solution,2021-07-04 21:41:27
1596,1623,13,cohesive,2021-04-06 20:17:25
1522,1807,9,reciprocal,2020-11-15 11:49:46
1616,1844,11,info-mediaries,2021-02-11 11:32:05
1819,1680,9,zero defect,2021-07-11 05:12:35
1837,1132,7,access,2021-03-01 00:30:41
1687,1136,13,toolset,2021-09-05 04:58:21
1631,1876,9,algorithm,2021-04-09 10:44:26
1880,1989,13,needs-based,2021-10-03 10:29:07
1797,1340,8,web-enabled,2021-01-12 10:19:51
1518,1589,10,system-worthy,2021-08-22 16:59:41
1521,1761,9,stable,2021-05-03 18:05:48
1778,1173,5,Progressive,2021-03-26 19:20:11
1673,1635,12,eco-centric,2021-04-18 20:53:39
1508,1798,4,Cloned,2021-04-03 22:38:18
1743,1398,11,logistical,2021-06-27 09:58:26
1633,1878,11,4th generation,2021-08-26 15:58:42
1930,1724,12,function,2020-11-27 03:06:34
1613,1878,4,Graphical User Interface,2020-11-16 01:32:10
1510,1921,6,disintermediate,2021-06-07 04:26:11
1968,1158,15,productivity,2020-11-15 16:20:14
1828,1189,11,Profit-focused,2021-06-22 00:48:21
1938,1732,10,knowledge user,2021-01-26 14:19:17
1824,1501,11,high-level,2021-07-21 20:27:07
1669,1732,9,Graphical User Interface,2021-04-27 05:25:02
1566,1481,1,methodology,2021-01-18 10:10:53
1578,1886,1,client-server,2020-11-13 03:07:21
1916,1120,13,Fundamental,2021-05-21 13:33:58
1896,1581,15,Persevering,2021-11-01 10:53:17
1663,1752,1,needs-based,2021-11-07 05:59:45
1677,1288,6,multi-tasking,2021-07-16 12:09:10
1578,1961,8,Team-oriented,2021-06-23 01:49:39
1754,1297,14,methodical,2021-02-11 07:29:34
2000,1762,2,composite,2021-07-05 11:21:46
1680,1905,1,Function-based,2021-08-01 00:54:07
1840,1904,11,actuating,2021-02-13 15:48:23
1908,1877,13,extranet,2021-01-05 08:27:59
1802,1546,6,Re-contextualized,2021-07-18 06:56:16
1937,1657,13,architecture,2021-07-24 01:57:57
1891,1405,9,success,2020-12-28 01:18:50
1557,1215,4,tertiary,2021-09-07 23:27:10
1751,1141,4,Quality-focused,2021-07-20 00:14:13
1748,1737,13,Monitored,2021-09-24 05:00:24
1560,1629,1,Diverse,2021-10-25 18:28:08
1736,1135,1,Decentralized,2021-10-03 00:12:57
1836,1570,2,analyzing,2021-09-24 02:50:58
1829,1479,13,tertiary,2021-10-05 21:40:06
1838,1838,15,alliance,2021-01-19 22:35:47
1673,1292,2,open architecture,2020-12-21 01:42:11
1639,1443,5,tertiary,2021-02-06 10:12:32
1520,1984,11,Configurable,2021-01-19 14:53:14
1520,1972,4,zero administration,2021-03-03 08:25:45
1684,1704,2,application,2021-05-05 13:38:27
1664,1965,2,User-friendly,2021-08-29 16:58:14
1802,1174,7,Graphical User Interface,2021-05-16 07:15:02
1904,1142,7,paradigm,2021-10-08 17:04:54
1779,1353,1,matrix,2021-05-23 21:01:41
1543,1841,2,service-desk,2021-11-04 00:33:54
1929,1250,8,fresh-thinking,2021-10-05 07:29:33
1814,1969,7,Profit-focused,2021-04-17 06:22:01
1756,1680,13,demand-driven,2021-08-31 14:07:30
1563,1265,1,circuit,2021-06-28 16:37:58
1803,1773,2,standardization,2020-11-16 21:39:20
1838,1586,6,database,2021-07-15 15:40:52
1752,1481,7,Synchronised,2021-06-04 12:11:24
1847,1024,10,Quality-focused,2020-12-18 20:32:55
1988,1852,12,global,2021-04-19 07:00:43
1646,1504,6,Virtual,2020-12-16 13:27:15
1634,1611,14,circuit,2021-10-08 15:48:32
1615,1297,5,executive,2020-11-16 22:42:16
1898,1881,3,didactic,2021-08-15 04:54:59
1750,1419,13,Multi-tiered,2021-03-15 03:10:36
1920,1703,6,Customizable,2021-10-18 03:01:58
1798,1955,13,coherent,2021-07-11 23:19:46
1659,1742,2,human-resource,2020-11-30 15:04:47
1793,1035,14,fault-tolerant,2021-02-07 14:19:30
1536,1441,1,upward-trending,2021-01-13 09:16:55
1924,1703,12,artificial intelligence,2021-06-29 15:08:13
1922,1513,1,human-resource,2021-11-06 05:37:09
1810,1931,4,Seamless,2021-09-09 02:31:30
1869,1042,11,neural-net,2021-07-01 23:37:09
1506,1598,7,Graphical User Interface,2020-11-13 20:08:01
1538,1117,13,didactic,2021-08-28 06:26:34
1546,1684,4,Adaptive,2021-09-27 10:59:27
1561,1644,1,6th generation,2021-02-08 16:49:06
1984,1872,2,matrix,2021-08-17 16:39:02
1716,1218,11,model,2021-02-23 22:39:58
1763,1993,11,algorithm,2021-01-18 11:17:00
1983,1453,4,policy,2021-11-05 08:23:02
1880,1030,2,conglomeration,2020-11-22 09:20:44
1988,1536,3,emulation,2021-01-01 03:15:53
1529,1425,9,Automated,2021-10-07 19:20:55
1888,1428,4,Enhanced,2020-12-26 18:41:25
1679,1486,4,dedicated,2021-04-11 09:19:42
1637,1780,15,neural-net,2021-01-26 19:27:47
1830,1420,3,hybrid,2021-06-22 04:11:05
1594,1452,13,support,2021-08-10 01:36:17
1894,1050,13,Profit-focused,2021-02-24 09:33:54
1594,1127,5,Enterprise-wide,2021-09-16 08:04:04
1867,1689,3,modular,2021-06-01 08:44:17
1527,1026,1,tertiary,2021-06-08 00:59:34
1726,1094,14,policy,2021-08-20 16:23:32
1514,1913,5,Public-key,2021-05-21 21:47:23
1803,1781,13,Self-enabling,2021-10-11 12:18:59
1524,1495,9,human-resource,2021-04-11 13:12:42
1662,1845,1,Phased,2021-06-22 02:44:54
1830,1472,1,multi-tasking,2021-04-25 20:09:56
1910,1346,7,Cross-platform,2021-02-26 21:35:08
1603,1325,14,Object-based,2021-06-18 03:21:32
1579,1877,2,Distributed,2021-09-29 06:29:19
1784,1075,12,installation,2021-02-12 20:05:35
1947,1309,1,multi-state,2021-07-18 10:42:11
1572,1061,14,Assimilated,2021-11-04 04:39:35
1906,1737,4,bottom-line,2021-09-09 00:37:05
1665,1750,8,Centralized,2021-02-20 10:38:46
