saleID,productID,quantity,price,description,createdAt
2997,8226,96,274.64,Stand-alone,11/24/2020 10:15
1755,9778,76,668.04,systemic,8/3/2021 23:33
7952,5859,43,779.41,client-driven,7/11/2021 9:09
1968,6024,31,455.78,Horizontal,4/11/2021 2:20
2572,8410,55,169.41,Streamlined,12/21/2020 0:47
5678,4919,5,147.01,Synergized,7/20/2021 2:04
6161,3850,35,846.94,architecture,4/12/2021 6:01
7457,2088,76,893.9,Phased,11/12/2020 12:10
5839,3567,56,417.49,encoding,4/18/2021 22:35
9574,7138,15,82.31,bottom-line,5/13/2021 2:10
3845,8131,89,223.27,Cross-group,4/7/2021 7:05
2237,4503,24,474.11,productivity,12/11/2020 12:46
4283,6906,4,813.14,dedicated,11/10/2020 6:04
8937,3174,21,773.08,radical,1/12/2021 21:46
2832,5241,57,227.95,stable,4/20/2021 12:56
6255,4194,11,551.63,hybrid,1/19/2021 3:03
3083,9102,6,192.07,asynchronous,1/21/2021 13:21
6940,5138,98,916.45,analyzing,8/11/2021 19:38
8676,7478,56,558.41,Synchronised,2/26/2021 2:01
5434,1269,28,837.85,product,5/2/2021 23:16
4000,5302,75,378.74,Triple-buffered,9/27/2021 17:05
5646,5351,82,457.85,Monitored,9/11/2021 20:13
2664,6118,46,742.88,architecture,3/1/2021 21:44
6191,5406,71,496.12,cohesive,5/31/2021 12:21
7388,2241,72,504.21,Grass-roots,3/21/2021 20:51
6668,1794,1,211.41,human-resource,3/2/2021 11:47
2840,7947,7,517.81,migration,9/23/2021 10:09
1378,5139,86,886.51,core,4/18/2021 18:04
7541,5871,79,784.48,Managed,7/21/2021 5:04
1064,7273,53,486.47,modular,12/1/2020 18:15
8651,4144,27,362.51,time-frame,12/17/2020 1:16
7086,2322,63,942.38,ability,2/17/2021 1:02
6595,8749,82,840.23,Right-sized,10/6/2021 1:28
9676,4980,67,683.07,Business-focused,7/7/2021 12:07
4502,7146,99,625.67,Reverse-engineered,3/7/2021 13:51
5310,2123,93,609.61,Sharable,12/6/2020 21:42
3268,9936,7,874.06,Horizontal,12/8/2020 5:34
5846,1228,27,721.2,Implemented,4/3/2021 1:26
2745,8559,71,271.91,Implemented,5/14/2021 3:04
2540,5852,65,642.27,Focused,6/29/2021 12:34
8127,4409,14,863.89,intermediate,2/28/2021 5:00
5703,3795,75,872.27,forecast,12/15/2020 4:48
8166,8537,25,926.62,full-range,3/20/2021 0:19
2867,1233,18,159.08,archive,7/25/2021 12:07
4327,1277,48,910.58,matrix,11/29/2020 18:26
5940,4622,37,883.17,Function-based,4/28/2021 20:44
5602,6261,27,569.88,attitude-oriented,7/31/2021 11:15
3339,2666,57,803.65,Robust,6/23/2021 22:09
6687,1598,21,15,Compatible,4/12/2021 3:05
6700,6771,22,597.59,grid-enabled,6/25/2021 18:38
9304,4985,27,394.07,application,8/11/2021 19:04
4979,6674,65,758.33,Enhanced,9/6/2021 14:23
4130,2085,14,78.8,hybrid,8/31/2021 4:25
5394,5608,44,805.36,high-level,8/18/2021 16:16
6621,1235,69,462.44,Persistent,4/21/2021 15:26
1709,5010,4,556.87,asynchronous,4/18/2021 8:08
6425,1074,99,522.35,Graphical User Interface,8/2/2021 20:34
2126,5145,36,543.7,structure,2/11/2021 3:01
3566,5531,32,689.41,synergy,10/26/2021 19:12
3703,4714,74,972.22,Extended,8/28/2021 2:35
1759,9674,82,467.98,heuristic,8/29/2021 5:43
4760,8321,25,52.91,Customer-focused,5/1/2021 9:32
8332,8563,99,269.4,parallelism,8/14/2021 8:06
3522,1358,31,861.5,logistical,9/1/2021 2:16
3527,9575,43,294.55,local area network,4/6/2021 9:15
9953,5068,55,464.04,collaboration,4/18/2021 1:29
6021,8707,47,369.95,Function-based,12/12/2020 4:16
4121,2498,71,20.72,intangible,7/8/2021 23:25
2413,6511,100,216.53,Cross-platform,2/3/2021 20:40
3736,8179,23,758.01,framework,3/3/2021 4:03
1694,8257,95,722.45,next generation,4/27/2021 20:32
7604,3596,8,421.41,Multi-lateral,10/26/2021 23:48
9901,8090,86,737.7,Reverse-engineered,5/5/2021 17:52
1257,7142,29,517.1,Object-based,1/10/2021 14:02
5424,5150,7,153.17,Vision-oriented,4/24/2021 4:28
7047,1106,75,852.94,Compatible,6/14/2021 9:07
5039,9601,100,124.28,extranet,11/18/2020 4:45
6107,5628,70,206.11,core,2/23/2021 8:15
3349,1293,85,371.67,leverage,8/27/2021 18:37
8957,7011,8,93.07,attitude-oriented,1/23/2021 12:54
5028,1411,36,884.67,Face to face,7/3/2021 23:47
7698,5198,98,332.26,implementation,2/8/2021 12:15
3408,9292,71,749.67,Vision-oriented,3/12/2021 18:11
9793,7511,2,548.01,bottom-line,8/30/2021 13:05
8263,7945,14,899.03,fault-tolerant,1/1/2021 3:27
4716,1580,3,751.36,Cross-platform,5/12/2021 2:40
7118,3389,44,52.76,interface,9/24/2021 23:35
2436,8879,35,347.82,productivity,1/6/2021 5:23
4847,4839,54,891.84,local,1/18/2021 18:47
4236,5620,12,410.24,Programmable,6/28/2021 12:46
2913,4259,32,548.14,Polarised,12/30/2020 20:53
5409,8754,97,28.93,composite,9/23/2021 15:21
9789,5671,63,578.75,tangible,3/17/2021 0:49
1344,4071,17,784.4,modular,11/21/2020 2:20
5769,6701,71,389.09,Distributed,5/14/2021 14:14
2401,3631,68,802.12,complexity,6/25/2021 17:40
8671,6387,53,92.83,tertiary,5/16/2021 15:32
1831,6124,67,729.01,5th generation,6/27/2021 9:09
2466,7897,34,815.13,pricing structure,4/16/2021 20:34
8230,4360,12,15.67,artificial intelligence,12/26/2020 9:54
9932,6863,45,42.12,Right-sized,5/5/2021 20:29
4901,2317,34,593.58,toolset,4/5/2021 21:24
2217,3678,59,74.24,Organic,2/27/2021 16:01
9126,1018,40,665.81,Optimized,3/24/2021 8:12
4196,9283,96,730.98,client-server,11/15/2020 12:36
7035,3639,45,374.97,implementation,8/16/2021 16:35
1958,1830,5,865.1,Cross-group,2/10/2021 21:04
5163,4307,7,608.67,Persistent,3/13/2021 17:13
1081,7552,36,967.73,human-resource,1/8/2021 19:41
4510,6924,72,849.61,monitoring,5/22/2021 0:56
8274,4081,52,11.91,Public-key,12/18/2020 22:09
2929,4545,25,536.63,Enhanced,12/31/2020 8:22
8871,7779,68,960.95,Ergonomic,7/22/2021 18:17
2222,7399,15,757.34,Innovative,3/11/2021 21:01
7257,8893,95,437.15,Open-architected,1/16/2021 0:27
3501,9518,76,292.64,24/7,10/20/2021 12:08
8937,5972,30,307.23,Graphical User Interface,12/21/2020 7:08
4982,1256,66,990.06,installation,12/17/2020 1:38
2432,1068,31,218.52,clear-thinking,9/26/2021 6:35
9496,8002,43,266.63,solution-oriented,1/24/2021 13:46
2979,1857,87,379.18,installation,2/27/2021 6:08
8155,9212,58,663.04,Team-oriented,11/28/2020 3:54
3882,7781,4,664.96,well-modulated,5/11/2021 21:17
4935,7951,19,97.93,function,12/30/2020 17:07
7024,4351,37,269.07,intangible,4/20/2021 20:38
3606,4158,16,477.42,benchmark,3/26/2021 23:11
7376,5774,46,18.39,Integrated,1/15/2021 10:03
8383,8236,64,597.98,Centralized,12/17/2020 23:47
4461,7161,62,13.26,3rd generation,1/5/2021 7:37
4715,2972,79,523.6,exuding,12/19/2020 9:21
6271,5963,46,103.67,open architecture,10/30/2021 22:17
7159,1223,35,673.66,client-driven,9/18/2021 17:42
3026,2906,51,282.16,flexibility,4/8/2021 21:25
1668,6980,69,820.4,Up-sized,3/3/2021 1:22
1656,4856,78,931.8,Innovative,9/24/2021 8:55
8539,6073,43,107.93,task-force,5/4/2021 9:24
6031,6123,77,867.87,middleware,7/27/2021 5:30
9309,1590,43,297.77,attitude-oriented,8/8/2021 15:15
4118,8918,52,791.54,disintermediate,12/10/2020 1:03
5234,5317,17,322.33,focus group,3/8/2021 2:27
7936,2307,73,221.53,Intuitive,3/20/2021 6:37
9824,3495,27,85.61,support,4/4/2021 18:56
1856,2273,66,586.04,full-range,7/12/2021 23:29
2383,5317,7,572.84,even-keeled,2/28/2021 2:32
2625,3289,74,198.84,Enterprise-wide,2/3/2021 19:43
1853,2905,74,760.24,zero administration,10/6/2021 10:09
3875,8396,59,571.37,Networked,6/23/2021 4:18
3189,6420,56,741.92,capability,12/20/2020 5:54
3568,7175,48,335.14,internet solution,10/21/2021 17:12
8762,3886,58,656.47,Innovative,12/26/2020 0:29
4289,7176,73,478.09,Multi-layered,10/20/2021 14:11
8037,8050,99,34.04,foreground,2/3/2021 6:51
1177,3773,74,910.75,interactive,2/28/2021 9:26
3126,2480,33,570.68,interactive,11/28/2020 4:58
1822,6956,66,446.52,access,10/23/2021 17:27
9473,5732,65,103.42,hierarchy,12/12/2020 10:46
3180,5895,97,743.58,Future-proofed,11/5/2021 12:36
3246,5559,93,994.16,modular,12/11/2020 8:23
3922,6221,68,643.3,fault-tolerant,3/19/2021 14:06
8066,6382,92,69.26,productivity,6/30/2021 4:23
5056,6535,49,656.55,Phased,10/4/2021 17:18
6497,8030,46,61.88,demand-driven,5/15/2021 13:39
4762,5771,86,838.29,stable,5/12/2021 13:52
6573,6602,51,808.6,internet solution,10/10/2021 7:36
4991,9281,24,668.48,asynchronous,10/3/2021 15:16
2486,5081,89,432.59,intangible,11/21/2020 23:08
9555,2034,28,214.53,help-desk,4/15/2021 3:15
7364,2907,4,724.42,Re-engineered,4/9/2021 18:42
5495,8619,12,652.09,leading edge,7/2/2021 4:41
4342,4963,76,917.39,ability,10/4/2021 17:11
5721,8469,39,889.1,multimedia,6/28/2021 10:32
1939,5877,86,624.65,Reactive,3/7/2021 17:05
6204,1369,40,815.22,attitude,8/10/2021 6:26
3674,4498,99,486.54,Cross-platform,1/1/2021 19:23
1666,5199,88,65.6,workforce,4/19/2021 16:52
9845,8247,3,820.02,homogeneous,2/5/2021 0:17
4729,2241,40,375.2,Sharable,7/7/2021 15:48
7043,7268,62,758.51,Down-sized,11/20/2020 15:12
1142,4492,47,301.8,orchestration,1/8/2021 0:50
5386,6821,11,576.11,bifurcated,4/17/2021 2:08
1984,2426,46,596.53,Distributed,9/16/2021 20:23
9817,7212,15,597.99,software,9/24/2021 9:37
6899,1219,45,628.92,disintermediate,1/31/2021 13:27
1901,4073,62,7.21,national,2/8/2021 23:11
8534,3579,82,230.69,array,9/20/2021 9:17
5547,6156,24,256.38,process improvement,6/3/2021 2:38
7482,2089,96,723.4,uniform,2/18/2021 0:59
9157,9841,77,619.61,stable,9/12/2021 5:05
2755,7282,21,554.06,customer loyalty,6/29/2021 10:31
4121,9911,15,821.68,methodology,3/14/2021 5:26
5161,1759,59,493.82,contingency,6/15/2021 16:42
1902,8869,91,619.87,Multi-tiered,12/24/2020 8:01
5495,4624,47,791.21,alliance,2/1/2021 8:37
3300,5690,69,298.49,Visionary,11/7/2020 2:23
2736,4201,45,562.11,cohesive,4/28/2021 5:08
7615,1551,55,881.67,circuit,7/26/2021 12:44
4006,9614,85,402.54,encoding,6/8/2021 9:04
3939,7713,77,235.07,software,10/23/2021 12:01
3460,8880,98,277.92,archive,4/24/2021 16:03
1258,4390,38,71.44,fault-tolerant,9/8/2021 11:37
7395,5012,59,191.47,pricing structure,6/22/2021 4:27
2913,5271,41,717.81,discrete,3/13/2021 12:52
1616,2748,85,735.4,Cross-group,4/10/2021 12:09
1982,8481,76,838.8,Enterprise-wide,1/26/2021 23:17
5036,9220,93,76.61,Open-source,4/28/2021 15:40
6535,8443,37,850.6,Devolved,5/22/2021 0:20
9535,1789,20,454.88,Centralized,8/9/2021 7:52
9329,7739,37,510.67,Pre-emptive,4/9/2021 18:07
8705,9716,96,274.27,Reverse-engineered,5/19/2021 2:53
8581,7028,4,382.25,budgetary management,2/17/2021 13:07
9919,8323,89,97.76,analyzing,6/5/2021 14:18
5808,2303,63,311.91,local,12/16/2020 5:09
3087,5884,72,473.6,Public-key,8/13/2021 13:16
5559,9005,31,524.21,optimizing,9/5/2021 1:34
3742,6654,8,718.23,Grass-roots,6/11/2021 14:24
3935,7050,89,868.55,Reactive,6/14/2021 11:38
3069,5169,28,97.44,Re-engineered,10/1/2021 5:58
2198,5415,68,260.18,systematic,6/13/2021 17:00
9913,7572,20,645.15,Multi-layered,11/5/2021 0:30
2075,7472,5,7.94,Operative,11/4/2021 10:50
8607,6159,42,818.71,Future-proofed,7/30/2021 15:59
3632,6099,76,13.34,dedicated,12/11/2020 11:19
4322,4543,75,120.65,success,9/8/2021 18:03
5939,7716,29,223.29,pricing structure,5/11/2021 13:09
9925,9195,15,794.72,Enhanced,12/10/2020 0:58
9197,6065,11,121.43,Intuitive,8/16/2021 0:47
8103,5053,88,468.35,contingency,6/6/2021 6:35
5120,1427,52,666.33,array,3/13/2021 6:48
7639,4541,24,112.05,Integrated,1/7/2021 6:00
2369,7270,72,184.13,internet solution,2/10/2021 21:46
7017,6706,76,756.52,even-keeled,5/5/2021 8:39
3939,5686,19,549.32,Organized,9/9/2021 4:16
9324,3088,59,783.36,Advanced,6/13/2021 10:58
3887,2632,18,76.06,Team-oriented,9/11/2021 10:20
1724,2422,32,983.68,Advanced,5/26/2021 3:07
7373,4209,79,980.83,Multi-layered,11/1/2021 7:31
7999,6441,1,860.06,Fully-configurable,4/7/2021 17:35
8739,6247,92,868.9,Pre-emptive,4/26/2021 5:50
1159,6630,36,739.77,Function-based,2/1/2021 6:05
9292,2884,11,923.89,Optimized,2/5/2021 19:19
8520,6776,51,737.39,radical,8/3/2021 12:12
4173,3829,89,183.12,Switchable,1/19/2021 9:55
9726,5343,53,142.81,Balanced,4/15/2021 19:37
2395,9636,6,941.13,time-frame,10/23/2021 6:57
2861,5531,61,265.37,Optional,3/29/2021 1:18
7351,7943,34,771.89,mobile,9/12/2021 20:51
2343,5054,44,415.27,challenge,8/18/2021 18:42
4826,1237,37,400.11,Exclusive,6/6/2021 6:11
2569,3200,34,924.44,archive,5/11/2021 12:36
6028,5103,90,269.51,Realigned,9/22/2021 11:44
9824,4473,55,211.29,fresh-thinking,1/1/2021 15:30
5449,3611,27,263.86,core,6/7/2021 7:41
4632,3755,29,317.96,Optimized,2/16/2021 23:08
7043,6765,67,677.88,project,6/16/2021 23:19
1350,5273,4,507.61,approach,3/18/2021 13:09
1711,3755,100,755.99,3rd generation,2/9/2021 22:38
9359,8376,65,966.68,Operative,5/24/2021 14:31
4928,5470,7,466.57,Cross-platform,4/5/2021 22:32
7769,8238,20,986.98,homogeneous,11/5/2021 15:09
8319,8327,74,478.49,synergy,2/5/2021 22:26
8853,8886,74,150.6,bottom-line,2/24/2021 18:52
9404,8684,37,2.48,process improvement,10/15/2021 21:30
1170,6869,95,804.72,intangible,4/17/2021 7:28
2521,3567,36,272.17,capacity,2/8/2021 23:13
5114,2571,39,830.92,discrete,6/12/2021 11:55
7642,5810,38,737.79,synergy,7/8/2021 1:26
9421,1396,12,109.77,matrices,3/22/2021 0:18
1292,3919,60,502.22,context-sensitive,1/29/2021 8:16
8572,9927,19,203.63,projection,8/12/2021 4:01
4515,3652,42,120.31,Programmable,1/26/2021 10:59
7126,3402,85,424.97,hierarchy,10/8/2021 23:42
3838,1542,45,247.29,value-added,9/9/2021 11:38
5875,3872,96,168.72,Front-line,9/15/2021 16:24
3983,8527,56,450.24,multimedia,11/14/2020 13:32
3852,1223,20,460.22,benchmark,12/18/2020 15:56
6543,5455,19,224.06,global,12/16/2020 10:51
8313,1630,34,297.65,even-keeled,6/24/2021 15:21
5656,6084,74,502.37,superstructure,4/25/2021 22:44
8099,7131,1,977.57,Integrated,7/30/2021 22:33
4993,4016,25,553.87,exuding,4/3/2021 19:20
5309,3280,69,923.28,Cloned,10/12/2021 20:32
1013,7260,45,900.37,system-worthy,4/9/2021 1:00
7489,6016,93,673.46,archive,3/24/2021 11:51
9721,6733,34,851.94,Balanced,10/27/2021 21:00
9467,9986,57,689.66,paradigm,11/1/2021 12:08
5602,8863,71,768.73,Total,1/20/2021 22:39
5176,1333,72,814.95,full-range,6/18/2021 16:45
9200,6362,83,626.32,fault-tolerant,5/26/2021 10:57
7055,5136,4,720.54,model,6/1/2021 7:48
4570,2353,87,683.38,composite,7/10/2021 15:57
3476,5399,82,559.76,Mandatory,4/21/2021 8:39
2161,2357,74,453.71,attitude,7/11/2021 12:31
8277,5059,87,51.98,clear-thinking,7/14/2021 16:45
5671,4449,20,553.17,Vision-oriented,6/3/2021 12:29
1268,9670,71,747.34,context-sensitive,4/24/2021 17:39
6161,1475,48,798.22,access,9/9/2021 13:58
7889,8191,80,768.44,open system,7/7/2021 18:12
4500,1387,25,694.94,artificial intelligence,7/2/2021 0:51
7048,7793,3,226.92,even-keeled,1/1/2021 1:27
1609,4755,51,96.61,Horizontal,8/12/2021 2:47
5945,6184,98,762.56,incremental,2/14/2021 11:10
7485,4855,54,650.32,intranet,8/16/2021 4:34
3140,6693,38,175.4,Object-based,3/22/2021 10:17
3095,7471,15,282.71,Graphical User Interface,1/26/2021 11:43
5035,6384,34,542.41,contingency,6/14/2021 15:52
9290,1502,74,575.68,paradigm,10/21/2021 11:54
8889,3036,13,460.37,Multi-channelled,1/2/2021 19:21
8809,8715,30,173.79,solution-oriented,6/23/2021 4:14
6124,3048,42,806.76,framework,9/23/2021 17:54
8982,8948,55,975.56,pricing structure,9/11/2021 14:16
5154,2877,8,705.87,holistic,12/22/2020 9:24
3431,3201,15,365.17,Multi-channelled,3/18/2021 23:22
5024,4283,93,376.68,composite,5/22/2021 4:09
6065,2548,30,663,non-volatile,8/31/2021 14:31
4011,6331,21,50.6,Multi-tiered,4/8/2021 5:54
8344,4389,56,434.86,process improvement,10/28/2021 8:25
7071,7741,27,896.61,Graphic Interface,2/6/2021 8:45
5612,8435,18,101.14,array,1/16/2021 8:17
3841,4199,15,229.32,matrix,12/25/2020 14:31
3911,7375,65,433.33,non-volatile,9/2/2021 12:52
5888,6198,20,521.4,zero administration,1/29/2021 13:41
5270,1719,45,128.07,help-desk,8/19/2021 11:29
8902,6820,67,628.85,Optional,6/16/2021 20:31
5200,6791,56,994.18,Reverse-engineered,12/5/2020 6:34
9372,5955,53,711.59,database,2/8/2021 15:12
4003,4328,83,863.3,Balanced,1/10/2021 23:04
4390,8854,78,710.51,Reverse-engineered,4/30/2021 21:50
1933,3446,64,919.07,Networked,8/6/2021 6:22
1414,2007,84,64.81,open architecture,11/11/2020 12:49
9750,7852,27,611.26,throughput,6/7/2021 16:25
8807,2179,44,541.74,leading edge,12/29/2020 19:08
5844,1655,95,551.6,asynchronous,9/18/2021 20:53
5270,4337,34,49.07,Horizontal,5/30/2021 4:20
4394,4062,81,144.97,neural-net,3/3/2021 17:27
1170,9514,9,796.58,homogeneous,10/7/2021 6:39
5220,6867,38,758.89,explicit,1/21/2021 3:47
3539,6061,7,956.2,open system,2/12/2021 23:35
1624,1978,15,718.73,Compatible,8/13/2021 23:16
9359,2868,52,493.33,info-mediaries,2/8/2021 6:13
1047,8209,94,926.52,Fundamental,4/27/2021 22:03
4459,8040,16,932.53,intangible,12/25/2020 12:45
6815,3689,25,54.33,Ergonomic,2/5/2021 15:27
1813,6986,83,903.69,Intuitive,8/3/2021 0:29
4074,8974,87,799.92,Organized,11/11/2020 17:01
9249,1984,19,525.15,flexibility,7/30/2021 21:45
3829,1049,64,815.39,Optional,5/15/2021 2:26
7394,7106,50,557.06,needs-based,6/23/2021 16:56
4326,4505,93,170.96,Reverse-engineered,6/11/2021 18:58
2717,4999,90,353.13,Integrated,2/15/2021 7:06
5544,7722,34,38.92,approach,12/29/2020 6:12
3568,1017,41,90.63,task-force,7/18/2021 13:25
8549,4471,73,602.87,framework,12/15/2020 16:26
5365,9695,58,361.3,zero administration,4/14/2021 11:15
9514,9574,68,684.89,Devolved,6/12/2021 23:47
5929,6451,40,217.1,impactful,7/1/2021 1:17
9771,9332,94,801.1,cohesive,9/5/2021 17:44
3571,8222,22,708.21,neural-net,12/24/2020 9:20
3851,7335,98,188.23,uniform,4/5/2021 23:08
9163,4770,72,892.95,Ameliorated,1/22/2021 2:52
5694,4329,25,433.86,success,10/12/2021 6:35
4014,9878,100,449.04,global,12/7/2020 0:56
5083,7329,92,305.82,Team-oriented,4/5/2021 10:11
9078,1840,80,50.97,capacity,2/19/2021 19:25
1197,8824,89,925.25,web-enabled,2/3/2021 16:37
8798,7237,81,383.16,structure,7/17/2021 6:12
5987,2288,57,150.26,challenge,7/28/2021 1:41
3959,7921,17,197.78,Synergistic,5/23/2021 6:29
5148,1916,35,916.69,tangible,7/15/2021 20:16
8927,5558,18,385.9,intranet,2/23/2021 12:54
9772,9366,8,442.93,impactful,10/30/2021 16:24
7711,5552,45,548.21,archive,9/8/2021 0:57
9470,9388,66,94.46,service-desk,10/5/2021 11:17
5618,8999,50,197.48,system engine,8/24/2021 23:09
6428,7802,14,917.41,Triple-buffered,2/5/2021 4:49
7977,8305,10,665.23,Reverse-engineered,1/4/2021 4:45
9153,5315,73,16.8,Re-engineered,9/8/2021 16:46
5304,7289,47,143.18,Universal,10/8/2021 23:33
4104,1955,57,889.83,capacity,2/5/2021 21:51
5338,4783,98,464.29,algorithm,6/8/2021 6:11
8987,4258,32,819.93,maximized,9/1/2021 9:02
6688,9497,26,116.27,protocol,5/29/2021 1:04
7681,2338,54,365.79,moratorium,9/16/2021 2:33
5625,6755,39,17.21,Reduced,8/13/2021 7:34
1942,2109,96,821.64,4th generation,5/23/2021 9:01
7726,9381,97,79.44,User-friendly,6/5/2021 6:46
8981,1174,1,141.74,customer loyalty,11/13/2020 16:54
6694,5701,27,935.66,Intuitive,7/31/2021 19:44
1597,1023,53,252.08,function,9/14/2021 19:17
7432,2503,14,241.35,high-level,3/14/2021 14:54
2873,1846,64,340.57,workforce,10/3/2021 4:56
6709,1462,70,878.15,Realigned,4/21/2021 11:06
9936,7801,13,184.69,utilisation,8/17/2021 3:16
4491,1256,24,377.54,Expanded,8/7/2021 8:22
9163,1805,36,281.54,responsive,9/6/2021 15:46
2487,9931,13,43.67,multi-state,2/25/2021 8:28
5799,9648,49,932.61,global,3/28/2021 6:15
2235,4021,6,382.04,well-modulated,6/24/2021 17:39
1872,6881,31,308.63,open architecture,8/30/2021 17:12
2046,9764,95,358.93,support,11/24/2020 15:11
9658,2327,5,728.51,leverage,3/13/2021 3:15
5510,4782,14,609.65,Ameliorated,1/17/2021 23:48
3027,5341,39,851.09,Diverse,10/7/2021 4:58
5922,6274,11,690.99,encompassing,3/22/2021 5:38
2533,6913,62,137.16,full-range,9/25/2021 9:16
1094,9379,53,120.11,Devolved,2/21/2021 16:28
5617,6756,74,647.6,productivity,2/6/2021 18:15
9443,8720,74,631.16,approach,1/13/2021 1:20
4651,9520,43,187.99,client-server,11/11/2020 10:04
8603,9583,85,90.94,Versatile,7/30/2021 12:11
4801,7820,93,788.64,installation,11/10/2020 9:35
1689,6018,14,261.2,6th generation,7/2/2021 20:16
8550,2467,22,425.3,Extended,10/23/2021 6:04
2966,4644,32,136.97,Visionary,11/5/2021 6:30
1581,5588,88,2.52,system-worthy,10/17/2021 18:10
1316,7279,16,190.04,website,11/27/2020 6:50
3336,3410,90,110.11,human-resource,8/8/2021 7:53
4358,4878,57,642.85,algorithm,12/26/2020 13:43
5679,6164,32,162.59,24 hour,12/16/2020 15:03
6092,5163,58,982.67,methodical,6/12/2021 3:46
3353,1151,75,36.58,Face to face,8/7/2021 9:46
2045,2762,94,585.91,bi-directional,6/11/2021 16:44
9732,5599,15,415.99,solution,12/10/2020 7:51
5670,8997,61,43.09,analyzer,7/2/2021 13:04
7859,5290,7,245.22,solution-oriented,6/12/2021 22:18
5458,3258,54,702.27,Intuitive,6/20/2021 18:35
7748,7629,7,811.97,core,1/24/2021 5:48
9268,9309,9,988.49,solution,11/19/2020 14:16
4059,6065,80,675.36,Function-based,8/31/2021 6:02
7270,3276,71,907.16,Open-architected,9/19/2021 4:28
8648,9302,96,651.13,Future-proofed,1/26/2021 16:27
4245,5185,92,962.72,Grass-roots,9/14/2021 1:33
8083,6194,22,912.98,budgetary management,3/21/2021 20:17
9202,7640,48,238.88,Streamlined,4/29/2021 16:17
9191,5144,75,3.23,zero tolerance,12/10/2020 5:07
1218,9948,96,396.58,User-centric,2/22/2021 3:46
2978,7809,12,744.68,local area network,12/20/2020 21:42
1049,6389,5,222.99,collaboration,1/21/2021 5:15
1340,4672,4,111.47,success,2/3/2021 22:06
1083,4296,25,482.06,multimedia,6/20/2021 14:24
